"COUNTRY","YEAR","COMMODITY","FLOW","TRADE_USD","QUANTITY_KG"
"Albania","2011","Articles of aluminium, nes","Import","5290245","1699265"
"Albania","2011","Articles of aluminium, nes","Export","1336837","194020"
"Algeria","2011","Articles of aluminium, nes","Import","19874773","3979239"
"Algeria","2011","Articles of aluminium, nes","Export","302518","201511"
"Chile","2011","Articles of aluminium, nes","Import","29698947","5059032"
"Antigua and Barbuda","2011","Articles of aluminium, nes","Import","394821","103928"
"Antigua and Barbuda","2011","Articles of aluminium, nes","Export","8981","1272"
"Argentina","2011","Articles of aluminium, nes","Import","61767237","11408990"
"Argentina","2011","Articles of aluminium, nes","Export","9829745","784861"
"Armenia","2011","Articles of aluminium, nes","Import","6815761","1438613"
"Armenia","2011","Articles of aluminium, nes","Export","38341","109"
"Aruba","2011","Articles of aluminium, nes","Import","1273976","322265"
"Aruba","2011","Articles of aluminium, nes","Export","6977","4208"
"Australia","2011","Articles of aluminium, nes","Import","233603732","46301563"
"Australia","2011","Articles of aluminium, nes","Export","29833820","3834244"
"Chile","2011","Articles of aluminium, nes","Export","3198728","393298"
"Azerbaijan","2011","Articles of aluminium, nes","Import","2600949","1117918"
"Azerbaijan","2011","Articles of aluminium, nes","Export","682","744"
"Bahamas","2011","Articles of aluminium, nes","Import","7763767","1160368"
"Bahamas","2011","Articles of aluminium, nes","Export","383585","20522"
"Bahrain","2011","Articles of aluminium, nes","Import","5505980","1062654"
"Bahrain","2011","Articles of aluminium, nes","Export","6522914","1110779"
"Barbados","2011","Articles of aluminium, nes","Import","2283999","274066"
"Barbados","2011","Articles of aluminium, nes","Export","1109784","703680"
"Belarus","2011","Articles of aluminium, nes","Import","25816100","3259668"
"Belarus","2011","Articles of aluminium, nes","Export","9206300","784042"
"Belgium","2011","Articles of aluminium, nes","Import","187081006","15746535"
"Belgium","2011","Articles of aluminium, nes","Export","205659363","14297831"
"Bolivia","2011","Articles of aluminium, nes","Import","2027922","328507"
"Bosnia Herzegovina","2011","Articles of aluminium, nes","Import","10708856","1404131"
"Bosnia Herzegovina","2011","Articles of aluminium, nes","Export","4167943","481419"
"Botswana","2011","Articles of aluminium, nes","Import","5549381","1131394"
"Botswana","2011","Articles of aluminium, nes","Export","64782","10844"
"Brazil","2011","Articles of aluminium, nes","Import","186671300","9960383"
"Brazil","2011","Articles of aluminium, nes","Export","58182833","5808019"
"Bulgaria","2011","Articles of aluminium, nes","Import","35364643","3833864"
"Bulgaria","2011","Articles of aluminium, nes","Export","34638876","3256491"
"Canada","2011","Articles of aluminium, nes","Import","270070869","29667265"
"Canada","2011","Articles of aluminium, nes","Export","257145708","25157783"
"Cape Verde","2011","Articles of aluminium, nes","Import","461478","77813"
"China","2011","Articles of aluminium, nes","Import","464222254","21845429"
"China","2011","Articles of aluminium, nes","Export","2129588681","402903823"
"China, Hong Kong SAR","2011","Articles of aluminium, nes","Import","134290946","12489067"
"China, Hong Kong SAR","2011","Articles of aluminium, nes","Export","217838151","21314854"
"China, Macao SAR","2011","Articles of aluminium, nes","Import","886443","391400"
"China, Macao SAR","2011","Articles of aluminium, nes","Export","68701","32465"
"Colombia","2011","Articles of aluminium, nes","Import","21191661","2155974"
"Colombia","2011","Articles of aluminium, nes","Export","4434678","484043"
"Costa Rica","2011","Articles of aluminium, nes","Import","9171500","924329"
"Costa Rica","2011","Articles of aluminium, nes","Export","2801699","62064"
"C??te dIvoire","2011","Articles of aluminium, nes","Import","1081777","200478"
"C??te dIvoire","2011","Articles of aluminium, nes","Export","16892","18426"
"Croatia","2011","Articles of aluminium, nes","Import","17851726","2169308"
"Croatia","2011","Articles of aluminium, nes","Export","62890694","9461487"
"Cyprus","2011","Articles of aluminium, nes","Import","6808622","1074291"
"Cyprus","2011","Articles of aluminium, nes","Export","29441","1884"
"Czech Rep.","2011","Articles of aluminium, nes","Import","304103209","61731936"
"Czech Rep.","2011","Articles of aluminium, nes","Export","488417528","44780836"
"Denmark","2011","Articles of aluminium, nes","Import","80599544","11057528"
"Denmark","2011","Articles of aluminium, nes","Export","104285713","10767155"
"Dominican Rep.","2011","Articles of aluminium, nes","Export","181722","43642"
"Dominican Rep.","2011","Articles of aluminium, nes","Import","8728381","807412"
"Ecuador","2011","Articles of aluminium, nes","Import","12828878","1290238"
"Ecuador","2011","Articles of aluminium, nes","Export","157569","6777"
"Egypt","2011","Articles of aluminium, nes","Import","8778108","825678"
"Egypt","2011","Articles of aluminium, nes","Export","21842428","2153585"
"Estonia","2011","Articles of aluminium, nes","Import","20016207","1507759"
"Estonia","2011","Articles of aluminium, nes","Export","34237568","2519633"
"Ethiopia","2011","Articles of aluminium, nes","Import","967315","267405"
"Ethiopia","2011","Articles of aluminium, nes","Export","4557","854"
"EU-27","2011","Articles of aluminium, nes","Import","1551616603","180089479"
"EU-27","2011","Articles of aluminium, nes","Export","1462996184","136738872"
