COUNTRY,YEAR,COMMODITY,FLOW,TRADE_USD,QUANTITY_KG
Albania,2011,"Articles of copper, nes",Import,100603,5260
Albania,2011,"Articles of copper, nes",Export,4228,30
Algeria,2011,"Articles of copper, nes",Import,890026,48781
Algeria,2011,"Articles of copper, nes",Export,314,760
Antigua and Barbuda,2011,"Articles of copper, nes",Import,26075,7283
Antigua and Barbuda,2011,"Articles of copper, nes",Export,75,4
Argentina,2011,"Articles of copper, nes",Import,19796750,1100452
Argentina,2011,"Articles of copper, nes",Export,1356444,56176
Armenia,2011,"Articles of copper, nes",Import,274166,8857
Armenia,2011,"Articles of copper, nes",Export,12617,96
Aruba,2011,"Articles of copper, nes",Import,311052,30058
Australia,2011,"Articles of copper, nes",Import,34976391,3112080
Australia,2011,"Articles of copper, nes",Export,2003052,122132
Azerbaijan,2011,"Articles of copper, nes",Import,387519,46176
Azerbaijan,2011,"Articles of copper, nes",Export,2644,142
Bahamas,2011,"Articles of copper, nes",Import,867621,103223
Bahamas,2011,"Articles of copper, nes",Export,379341,41668
Bahrain,2011,"Articles of copper, nes",Import,482210,120074
Bahrain,2011,"Articles of copper, nes",Export,47189,8205
Barbados,2011,"Articles of copper, nes",Import,418843,44032
Barbados,2011,"Articles of copper, nes",Export,4703,183
Belarus,2011,"Articles of copper, nes",Export,455900,7838
Belarus,2011,"Articles of copper, nes",Import,10321200,607810
Belgium,2011,"Articles of copper, nes",Import,32528239,3158319
Belgium,2011,"Articles of copper, nes",Export,23737262,1986641
Bolivia,2011,"Articles of copper, nes",Import,169048,8659
Bosnia Herzegovina,2011,"Articles of copper, nes",Import,1035811,50035
Bosnia Herzegovina,2011,"Articles of copper, nes",Export,157950,9019
Botswana,2011,"Articles of copper, nes",Import,3631658,133675
Botswana,2011,"Articles of copper, nes",Export,39068,5743
Brazil,2011,"Articles of copper, nes",Import,20032521,555363
Brazil,2011,"Articles of copper, nes",Export,1769645,37938
Bulgaria,2011,"Articles of copper, nes",Import,2427451,170104
Bulgaria,2011,"Articles of copper, nes",Export,247920,3249
Canada,2011,"Articles of copper, nes",Import,48670879,4441863
Cape Verde,2011,"Articles of copper, nes",Import,62914,8907
Chile,2011,"Articles of copper, nes",Import,3583727,271189
Chile,2011,"Articles of copper, nes",Export,2535067,118496
China,2011,"Articles of copper, nes",Import,460674729,23003240
China,2011,"Articles of copper, nes",Export,253490702,21701764
"China, Macao SAR",2011,"Articles of copper, nes",Import,94749,13661
Colombia,2011,"Articles of copper, nes",Import,2263451,147426
Colombia,2011,"Articles of copper, nes",Export,149960,8174
Costa Rica,2011,"Articles of copper, nes",Import,731051,60479
Costa Rica,2011,"Articles of copper, nes",Export,85263,10820
C??te d'Ivoire,2011,"Articles of copper, nes",Import,199820,42167
Croatia,2011,"Articles of copper, nes",Import,5177098,156081
Croatia,2011,"Articles of copper, nes",Export,1825559,95053
Cyprus,2011,"Articles of copper, nes",Import,316230,25580
Czech Rep.,2011,"Articles of copper, nes",Import,52108638,7628383
Czech Rep.,2011,"Articles of copper, nes",Export,29589593,1597897
Denmark,2011,"Articles of copper, nes",Import,21407775,2521173
Denmark,2011,"Articles of copper, nes",Export,21507649,2053695
