"COUNTRY","YEAR_2007","YEAR_2008","YEAR_2009","YEAR_2010","YEAR_2011"
"Afghanistan","12148308397","13276221189","13813174367","17907210556","19874298804"
"Albania","9613305282","11998781955","11030426946","10605503874","11464347164"
"Algeria","58488702946","74196166781","73688577593","83097969846","103696510707"
"Andorra","2994272154","3022182776","2795233788","2601947906","2684749298"
"Angola","33751025761","49600328298","63688853686","53407187081","62033390199"
"Anguilla","348350848","356834638","282801437","262629014","289165616"
"Antigua and Barbuda","1150140741","1161455556","888288889","967651852","995040741"
"Argentina","246346506997","309576687088","303241175541","363911120615","438999410713"
"Armenia","7531137909","9539453937","8103802230","8803574884","9796940281"
"Aruba","2050139665","2121212291","2054055866","2094413408","2230167598"
"Australia","724405423102","758841168897","741563171135","926716698442","1098450150925"
"Austria","274431301432","305069451924","295593474757","289934128323","314688464238"
"Azerbaijan","14231629379","20483689086","23864764551","26582071887","31252533091"
"Bahamas","6576322390","6700383562","6431380067","6586660000","6833640000"
"Bahrain","9452505673","11712852287","12590377008","13913808699","15237989715"
"Bangladesh","62194871886","72189670357","81017891050","90678696780","98036718973"
"Barbados","3876550000","4034050000","3999100000","3963000000","4208800000"
"Belarus","31844383748","41604439249","35419335745","39353579810","36793482803"
"Belgium","337671417084","382173816760","367149597766","363596762387","397001896583"
"Belize","1049437322","1102373713","1153086492","1203378754","1274407232"
"Benin","4854747661","5770825527","5801046075","5803347159","6424335598"
"Bermuda","4155562679","4314584969","4083357675","4051877364","3940302264"
"Bhutan","697186803","738632652","832229482","1011244150","1113662959"
"Bolivia","10139741960","12589273644","13908504274","14959275554","17897236528"
"Bosnia and Herzegovina","16952420940","20650230077","19105105755","18502022011","20021593928"
"Botswana","6261401174","7050937044","7339679834","8810327937","9949406835"
"Brazil","1095564505429","1308208968789","1333757339133","1731417620975","2006264214107"
"British Virgin Islands","457000000","444000000","388000000","393000000","399000000"
"Brunei Darussalam","5239826002","5012819005","5114228752","5639344756","6086271370"
"Bulgaria","37145099892","44062709312","39679138167","38727236853","43044303244"
"Burkina Faso","6234917813","7613311719","7552389957","7504168048","8606648960"
"Burundi","1490712815","1831856955","1895432034","2101585621","2323704675"
"Cabo Verde","1217198478","1389546832","1405279983","1355587475","1516139274"
"Cambodia","7246508690","8807267914","8563074811","9852340748","11402796600"
"Cameroon","17033732144","20025430449","20218693738","20462703817","23261600425"
"Canada","1078703937175","1145012370670","1091979172605","1266905601324","1378003745806"
