"COUNTRY","YEAR","COMMODITY","FLOW","TRADE_USD","QUANTITY_KG"
"Albania","2011","Articles of zinc nes","Import","269140","74762"
"Albania","2011","Articles of zinc nes","Export","85102","14850"
"Algeria","2011","Articles of zinc nes","Import","901381","114450"
"Antigua and Barbuda","2011","Articles of zinc nes","Import","10377","1395"
"Argentina","2011","Articles of zinc nes","Import","3551784","434602"
"Argentina","2011","Articles of zinc nes","Export","528090","37268"
"Armenia","2011","Articles of zinc nes","Import","65464","4480"
"Aruba","2011","Articles of zinc nes","Import","101022","21601"
"Australia","2011","Articles of zinc nes","Import","6986090","1583552"
"Australia","2011","Articles of zinc nes","Export","255761","47794"
"Azerbaijan","2011","Articles of zinc nes","Import","4193059","3996301"
"Bahamas","2011","Articles of zinc nes","Import","445242","87020"
"Bahamas","2011","Articles of zinc nes","Export","20151","5541"
"Bahrain","2011","Articles of zinc nes","Import","3582624","667178"
"Bahrain","2011","Articles of zinc nes","Export","47239","9941"
"Barbados","2011","Articles of zinc nes","Import","48886","7629"
"Belarus","2011","Articles of zinc nes","Import","1674900","485004"
"Belarus","2011","Articles of zinc nes","Export","24000","7325"
"Belgium","2011","Articles of zinc nes","Import","54213914","15666953"
"Belgium","2011","Articles of zinc nes","Export","49566437","15968962"
"Bolivia","2011","Articles of zinc nes","Import","190379","62732"
"Bosnia Herzegovina","2011","Articles of zinc nes","Import","491561","101328"
"Bosnia Herzegovina","2011","Articles of zinc nes","Export","3571907","678100"
"Botswana","2011","Articles of zinc nes","Import","1441607","512698"
"Botswana","2011","Articles of zinc nes","Export","12881","1640"
"Brazil","2011","Articles of zinc nes","Import","6883537","699482"
"Brazil","2011","Articles of zinc nes","Export","2061350","225579"
"Bulgaria","2011","Articles of zinc nes","Import","2448808","597571"
"Bulgaria","2011","Articles of zinc nes","Export","341233","62551"
"Canada","2011","Articles of zinc nes","Import","27414415","4212213"
"Canada","2011","Articles of zinc nes","Export","15671122","1630284"
"Cape Verde","2011","Articles of zinc nes","Import","30272","4265"
"Chile","2011","Articles of zinc nes","Import","1186272","184729"
"Chile","2011","Articles of zinc nes","Export","43104","4870"
"China","2011","Articles of zinc nes","Import","21465680","2268347"
"China","2011","Articles of zinc nes","Export","152777658","40934770"
"China, Hong Kong SAR","2011","Articles of zinc nes","Import","24047344","3417159"
"China, Hong Kong SAR","2011","Articles of zinc nes","Export","51779621","6802413"
"China, Macao SAR","2011","Articles of zinc nes","Export","355","40"
"Colombia","2011","Articles of zinc nes","Import","2541870","755156"
"Colombia","2011","Articles of zinc nes","Export","220057","36102"
"Costa Rica","2011","Articles of zinc nes","Import","1464405","207836"
"Costa Rica","2011","Articles of zinc nes","Export","817868","31807"
"Cte dIvoire","2011","Articles of zinc nes","Import","106883","17525"
"Croatia","2011","Articles of zinc nes","Import","1589500","177119"
"Croatia","2011","Articles of zinc nes","Export","413016","48592"
"Cyprus","2011","Articles of zinc nes","Import","260391","46560"
"Cyprus","2011","Articles of zinc nes","Export","270","2"
"Czech Rep.","2011","Articles of zinc nes","Import","51258488","6580161"
"Czech Rep.","2011","Articles of zinc nes","Export","42091154","5471635"
"Denmark","2011","Articles of zinc nes","Import","15546019","2590667"
"Denmark","2011","Articles of zinc nes","Export","10221578","839129"
"Dominican Rep.","2011","Articles of zinc nes","Import","187178","26598"
"Dominican Rep.","2011","Articles of zinc nes","Export","3733609","2539796"
"Ecuador","2011","Articles of zinc nes","Import","1427610","247073"
"Ecuador","2011","Articles of zinc nes","Export","5113","1585"
"Egypt","2011","Articles of zinc nes","Import","1021354","145136"
"Egypt","2011","Articles of zinc nes","Export","33693","4426"
"Estonia","2011","Articles of zinc nes","Import","2319529","341076"
"Estonia","2011","Articles of zinc nes","Export","396429","58467"
"Ethiopia","2011","Articles of zinc nes","Import","12005","4275"
"EU-27","2011","Articles of zinc nes","Import","178349036","29887987"
"EU-27","2011","Articles of zinc nes","Export","116996839","12412640"
"Finland","2011","Articles of zinc nes","Import","3272730","647678"
"Finland","2011","Articles of zinc nes","Export","17905167","2890098"
"France","2011","Articles of zinc nes","Import","113316309","29402183"
"French Polynesia","2011","Articles of zinc nes","Import","107771","9119"
"French Polynesia","2011","Articles of zinc nes","Export","9677","65"
"Germany","2011","Articles of zinc nes","Import","154666700","21222041"
"Germany","2011","Articles of zinc nes","Export","249047386","27199446"
"Ghana","2011","Articles of zinc nes","Import","63179","2852"
"Greece","2011","Articles of zinc nes","Import","567523","67203"
"Greece","2011","Articles of zinc nes","Export","2125649","711828"
"Guatemala","2011","Articles of zinc nes","Import","393342","35744"
"Guatemala","2011","Articles of zinc nes","Export","79340","79340"
"Guyana","2011","Articles of zinc nes","Import","550896","482922"
"Hungary","2011","Articles of zinc nes","Import","13608000","1755700"
"Hungary","2011","Articles of zinc nes","Export","10990000","2583535"
"Iceland","2011","Articles of zinc nes","Import","218928","20308"
"Iceland","2011","Articles of zinc nes","Export","6177","562"
"India","2011","Articles of zinc nes","Import","9643923","1915394"
"India","2011","Articles of zinc nes","Export","5971494","2243496"
"Indonesia","2011","Articles of zinc nes","Import","16101056","6528686"
"Indonesia","2011","Articles of zinc nes","Export","1204744","792928"
"Ireland","2011","Articles of zinc nes","Import","942656","64419"
"Ireland","2011","Articles of zinc nes","Export","313516","5765"
"Israel","2011","Articles of zinc nes","Import","2040000","289887"
"Israel","2011","Articles of zinc nes","Export","56000","7357"
"Italy","2011","Articles of zinc nes","Import","31050691","3385153"
"Italy","2011","Articles of zinc nes","Export","96727221","13523612"
"Japan","2011","Articles of zinc nes","Import","37291025","3588340"
"Japan","2011","Articles of zinc nes","Export","10349000","702128"
"Jordan","2011","Articles of zinc nes","Import","860528","319246"
"Kyrgyzstan","2011","Articles of zinc nes","Import","57644","11060"
"Kyrgyzstan","2011","Articles of zinc nes","Export","13","6"
"Latvia","2011","Articles of zinc nes","Import","461307","56973"
"Latvia","2011","Articles of zinc nes","Export","56805","10951"
"Lebanon","2011","Articles of zinc nes","Import","570014","280482"
"Lebanon","2011","Articles of zinc nes","Export","3028871","658649"
"Lithuania","2011","Articles of zinc nes","Import","1763780","354284"
"Lithuania","2011","Articles of zinc nes","Export","1096983","121456"
